# Opening lines from lichess-org/chess-openings, CC0 1.0 (public domain).
# https://github.com/lichess-org/chess-openings
#
# Generated by tools/scripts/make_book.py — do not edit by hand.
# One position per row: the path of UCI moves from the starting position, a tab,
# then the book moves with their weight (how many named variations use them).
	e2e4:2023 d2d4:1287 c2c4:202 g1f3:109 b1c3:29 b2b4:27 f2f4:27 g2g3:21 g2g4:20 b2b3:15 h2h4:9
b1c3	d7d5:11 e7e5:8
c2c4	e7e5:59 g8f6:45 e7e6:40 c7c5:28 c7c6:11
d2d4	g8f6:677 d7d5:448 f7f5:70 g7g6:22 c7c5:19 e7e5:16 e7e6:11 d7d6:9
e2e4	e7e5:1033 c7c5:401 e7e6:214 c7c6:110 g8f6:56 d7d5:48 b8c6:44 d7d6:44 g7g6:44
f2f4	e7e5:9 d7d5:8
g1f3	d7d5:52 g8f6:25
g2g4	d7d5:14
c2c4 c7c5	b1c3:14 g1f3:10
c2c4 c7c6	g1f3:10
c2c4 e7e5	b1c3:48
c2c4 e7e6	g1f3:28 b1c3:8
c2c4 g8f6	g1f3:17 b1c3:13 g2g3:11
d2d4 c7c5	d4d5:11
d2d4 d7d5	c2c4:322 g1f3:52 e2e4:49 b1c3:11
d2d4 e7e5	d4e5:8
d2d4 e7e6	c2c4:9
d2d4 f7f5	c2c4:34 e2e4:10
d2d4 g7g6	c2c4:13
d2d4 g8f6	c2c4:576 g1f3:60 b1c3:13 c1g5:10
e2e4 b8c6	d2d4:29 g1f3:9
e2e4 c7c5	g1f3:301 d2d4:33 b1c3:22 c2c3:13 b2b4:8
e2e4 c7c6	d2d4:78 b1c3:10
e2e4 d7d5	e4d5:42
e2e4 d7d6	d2d4:39
e2e4 e7e5	g1f3:692 f2f4:190 b1c3:58 f1c4:38 d2d4:29
e2e4 e7e6	d2d4:190
e2e4 g7g6	d2d4:40
e2e4 g8f6	e4e5:48
g1f3 d7d5	g2g3:21 c2c4:15
g1f3 g8f6	g2g3:15
g2g4 d7d5	f1g2:9
c2c4 c7c5 b1c3	b8c6:11
c2c4 c7c6 g1f3	d7d5:10
c2c4 e7e5 b1c3	g8f6:32 b8c6:11
c2c4 e7e6 b1c3	g8f6:8
c2c4 e7e6 g1f3	d7d5:18 g8f6:8
c2c4 g8f6 g2g3	c7c6:10
d2d4 d7d5 c2c4	e7e6:119 c7c6:109 d5c4:56 e7e5:13 b8c6:11
d2d4 d7d5 e2e4	d5e4:48
d2d4 d7d5 g1f3	g8f6:43
d2d4 f7f5 c2c4	g8f6:28
d2d4 f7f5 e2e4	f5e4:9
d2d4 g7g6 c2c4	f8g7:13
d2d4 g8f6 b1c3	d7d5:11
d2d4 g8f6 c2c4	e7e6:303 g7g6:192 c7c5:49 d7d6:14 e7e5:11
d2d4 g8f6 g1f3	g7g6:25 e7e6:19
e2e4 b8c6 d2d4	d7d5:15 e7e5:10
e2e4 c7c5 b1c3	b8c6:16
e2e4 c7c5 c2c3	d7d5:8
e2e4 c7c5 d2d4	c5d4:32
e2e4 c7c5 g1f3	d7d6:122 b8c6:67 e7e6:62 a7a6:20 g7g6:15
e2e4 c7c6 b1c3	d7d5:9
e2e4 c7c6 d2d4	d7d5:73
e2e4 d7d5 e4d5	g8f6:20 d8d5:18
e2e4 d7d6 d2d4	g8f6:35
e2e4 e7e5 b1c3	b8c6:27 g8f6:25
e2e4 e7e5 d2d4	e5d4:26
e2e4 e7e5 f1c4	f8c5:16 g8f6:13
e2e4 e7e5 f2f4	e5f4:138 d7d5:22 f8c5:10
e2e4 e7e5 g1f3	b8c6:554 g8f6:56 d7d6:42 f7f5:25
e2e4 e7e6 d2d4	d7d5:178
e2e4 g7g6 d2d4	f8g7:35
e2e4 g8f6 e4e5	f6d5:43
g1f3 d7d5 g2g3	c7c5:8
g1f3 g8f6 g2g3	d7d5:10
c2c4 c7c5 b1c3 b8c6	g2g3:10
c2c4 e7e5 b1c3 b8c6	g2g3:9
c2c4 e7e5 b1c3 g8f6	g1f3:21 g2g3:9
c2c4 e7e6 g1f3 d7d5	g2g3:15
c2c4 g8f6 g2g3 c7c6	g1f3:10
d2d4 d7d5 c2c4 c7c6	g1f3:68 b1c3:36
d2d4 d7d5 c2c4 d5c4	g1f3:38 e2e4:10
d2d4 d7d5 c2c4 e7e5	d4e5:12
d2d4 d7d5 c2c4 e7e6	b1c3:105 g1f3:13
d2d4 d7d5 e2e4 d5e4	b1c3:45
d2d4 d7d5 g1f3 g8f6	c1g5:14 e2e3:12 c2c4:9
d2d4 f7f5 c2c4 g8f6	g2g3:25
d2d4 g7g6 c2c4 f8g7	b1c3:9
d2d4 g8f6 b1c3 d7d5	c1g5:8
d2d4 g8f6 c2c4 c7c5	d4d5:46
d2d4 g8f6 c2c4 d7d6	b1c3:10
d2d4 g8f6 c2c4 e7e5	d4e5:10
d2d4 g8f6 c2c4 e7e6	g1f3:152 b1c3:114 g2g3:34
d2d4 g8f6 c2c4 g7g6	b1c3:150 g1f3:23 g2g3:10
d2d4 g8f6 g1f3 e7e6	e2e3:11
e2e4 b8c6 d2d4 d7d5	b1c3:9
e2e4 b8c6 d2d4 e7e5	d4e5:8
e2e4 c7c5 b1c3 b8c6	g2g3:10
e2e4 c7c5 c2c3 d7d5	e4d5:8
